variable,hh,person,day,trip,vehicle,data_type,description,logic
carshare_freq,0,1,0,0,0,integer/categorical,"How often the person has used carshare (e.g., Turo, ZipCar, Getaround, GIG) in the past 30 days",if age ≥ 18 and uses carshare (share_5 = 1)
commute_freq,0,1,0,0,0,integer/categorical,How often commuted to workplace last week,"if workplace = fixed, varied, telecommutes some days (2017-2021); if employment = full/part/self/volunteer and job_type IS NOT ""work only from home"" or “drive/bike/travel for work” (2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" and work_from_home is not ""all of the time"" OR drive_for_work = ""yes"" (2025)"
commute_subsidy_1,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) transit passes or fares,"If employed full/part/furloughed/volunteer (2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" and employment = full- or part-time (2025)"
commute_subsidy_2,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) transit passes or fares,If employed full/part/furloughed/volunteer
commute_subsidy_3,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Free (fully subsidized) parking at work,If employed full/part/furloughed/volunteer
commute_subsidy_4,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Discounted (partially subsidized) parking at work,If employed full/part/furloughed/volunteer
commute_subsidy_5,0,1,0,0,0,integer/categorical,"Commute benefits provided by employer -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)",If employed full/part/furloughed/volunteer
commute_subsidy_6,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Flextime (can adjust schedule as long as work the right number of total hours),If employed full/part/furloughed/volunteer
commute_subsidy_7,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Ability to work from home,If employed full/part/furloughed/volunteer
commute_subsidy_996,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- None of the above,If employed full/part/furloughed/volunteer
commute_subsidy_998,0,1,0,0,0,integer/categorical,Commute benefits provided by employer -- Don't know,If employed full/part/furloughed/volunteer
commute_subsidy_transit,0,1,0,0,0,integer/categorical,"Worker offered transit pass through work (this is a calculated variable from commute_subsidy_1, commute_subsidy_2 and benefits_3 in 2017-2021)",
commute_subsidy_parking,0,1,0,0,0,integer/categorical,"Worker offered subsidized parking through work (this is a calculated variable from commute_subsidy_3, commute_subsidy_4 and workpass in 2017,2019)",
commute_subsidy_use_1,0,1,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) transit passes or fares,"if employer offers free transit passes (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""free (fully subsidized) transit passes or fares"" (commute_subsidy_1 = ""selected"") (2025)"
commute_subsidy_use_2,0,1,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) transit passes or fares,"if employer offers discounted transit passes (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""discounted (partially subsidized) transit passes or fares"" (commute_subsidy_2 = ""selected"") (2025)"
commute_subsidy_use_3,0,1,0,0,0,integer/categorical,Commute benefit used -- Free (fully subsidized) parking at work,"if employer offers free parking at work (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""free (fully subsidized) parking at work"" (commute_subsidy_3 = ""selected"") (2025)"
commute_subsidy_use_4,0,1,0,0,0,integer/categorical,Commute benefit used -- Discounted (partially subsidized) parking at work,"if employer offers discounted parking at work (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""dicounted (partially subsidized) parking at work"" (commute_subsidy_4 = ""selected"") (2025)"
commute_subsidy_use_5,0,1,0,0,0,integer/categorical,"Commute benefit used -- Compressed work week (e.g., four 10-hour days, 9 days/80 hours)","if employer offers a compressed work week (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""compressed work week (e.g., four 10-hour days, 9 days/80 hours)"" (commute_subsidy_5 = ""selected"") (2025)"
commute_subsidy_use_6,0,1,0,0,0,integer/categorical,Commute benefit used -- Flextime (can adjust schedule as long as work the right number of total hours),"if employer offers flextime (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""flextime (can adjust schedule as long as work the right number of total hours)"" (commute_subsidy_6 = ""selected"") (2025)"
commute_subsidy_use_7,0,1,0,0,0,integer/categorical,Commute benefit used -- Ability to work from home,"if employer offers ability to work from home (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") and commute_subsidy = ""ability to work from home"" (commute_subsidy_7 = ""selected) (2025)"
commute_subsidy_use_996,0,1,0,0,0,integer/categorical,Commute benefit used -- None of the above,"if employer offers any commute benefits (2023); if commute_subsidy NOT ""don't know"" or ""none of the above"" (commute_subsidy_996 and commute_subsidy_998 = ""not selected"") (2025)"
copied_trip,0,0,0,1,0,integer/categorical,Trip was copied from another HH member,
d_bg,0,0,0,1,0,character,Trip destination census block group (derived by PSRC),
d_in_region,0,0,0,1,0,integer/categorical,Trip destination is in PSRC MPO area,
d_puma10,0,0,0,1,0,character,Trip destination PUMA (Public Use Microdata Area) 2010 (derived by PSRC),
day_id,0,0,1,1,0,numeric,Unique identifier for each person day,
day_weight,0,0,1,0,0,numeric,Person-day-level weight,
daynum,0,0,1,1,0,numeric,Diary day sequence,
deliver_elsewhere,0,0,1,0,0,integer/categorical,Deliveries and home services -- Packages delivered elsewhere,if rMove or (rMove for Web and person 1) (2025)
deliver_food,0,0,1,0,0,integer/categorical,Deliveries and home services -- Food/meal prep delivered,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)"
deliver_grocery,0,0,1,0,0,integer/categorical,Deliveries and home services -- Groceries delivered,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)"
deliver_none,0,0,1,0,0,integer/categorical,Deliveries and home services -- None,if rMove or (rMove for Web and person 1) (2025)
deliver_office,0,0,1,0,0,integer/categorical,Deliveries and home services -- Packages delivered at work,if rMove or (rMove for Web and person 1) (2025)
deliver_other,0,0,1,0,0,integer/categorical,Deliveries and home services -- Other deliveries,if rMove or (rMove for Web and person 1) (2025)
deliver_package,0,0,1,0,0,integer/categorical,Deliveries and home services -- Packages delivered at home,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)"
deliver_work,0,0,1,0,0,integer/categorical,Deliveries and home services -- Services delivered,"if hhgroup = rMove (2017, 2019); if rMove or (rMove for Web and person 1) (2025)"
depart_date,0,0,0,1,0,date,Date of departure,
depart_dow,0,0,0,1,0,integer/categorical,Departure day of week,
depart_time_hour,0,0,0,1,0,numeric,Departure time hour,
depart_time_minute,0,0,0,1,0,numeric,Departure time minute,
depart_time_second,0,0,0,1,0,numeric,Departure time second,
dest_city,0,0,0,1,0,integer/categorical,Trip Destination City,
dest_county,0,0,0,1,0,integer/categorical,Trip Destination County,
dest_jurisdiction,0,0,0,1,0,integer/categorical,Trip Destination Jurisdiction,
dest_lat,0,0,0,1,0,numeric,Destination latitude,
dest_lng,0,0,0,1,0,numeric,Destination longitude,
dest_purpose,0,0,0,1,0,integer/categorical,Destination purpose,
dest_purpose_cat,0,0,0,1,0,integer/categorical,Destination purpose category,
dest_purpose_cat_5,0,0,0,1,0,integer/categorical,Destination purpose category (5 categories),
dest_purpose_other,0,0,0,1,0,character,Other trip destination textbox answer,"if purpose ""other"" selected"
dest_rgcname,0,0,0,1,0,integer/categorical,Destination location: Regional Growth Center,
dest_tract_2010,0,0,0,1,0,character,Destination Census Tract 2010,
dest_tract_2020,0,0,0,1,0,character,Destination Census Tract 2020,
dest_x_coord,0,0,0,1,0,numeric,Destination: X coordinate,
dest_y_coord,0,0,0,1,0,numeric,Destination: Y coordinate,
diary_platform,1,0,0,0,0,character,Platform used by participant for part two (travel diary/preference survey),
disability_person,0,1,0,0,0,integer/categorical,Person has a disability or illness that affects ability to travel,if age ≥ 18
displaced,1,0,0,0,0,integer/categorical,Household experienced residential displacement,
distance_meters,0,0,0,1,0,numeric,Distance (meters). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,
distance_miles,0,0,0,1,0,numeric,Distance (miles). Trips recorded in online survey are straight-line distances between origin and destination. Trips recorded in rMove are path distances via all points recorded by the app.,
drive_for_work,0,1,0,0,0,integer/categorical,Person has to commute somewhere each workday to pick up a variable.,"If age ≥ 16 and job_type = ""drive/bike/travel for work (e.g., delivery driver, rideshare driver"""
driver,0,0,0,1,0,integer/categorical,"Driver or passenger on auto trip, non-taxi","if mode = auto (non-taxi) and travel party > 1 (until 2023); if mode = auto (non-taxi), hhlicenses = ""yes"", and travel party has more than 1 passenger older than 15 (2025)"
duration_minutes,0,0,0,1,0,numeric,Duration (in minutes). Calculated as the difference between start and stop time of the trip.,
duration_seconds,0,0,0,1,0,numeric,Duration (in seconds). Calculated as the difference between start and stop time of the trip.,
dwell_mins,0,0,0,1,0,numeric,"Dwell minutes.  Minutes spent at destination location, calculated as the time elapsed between the trip arrive time and the depart time of the next trip. Zero if the trip is the last trip made by the person.",
education,0,1,0,0,0,integer/categorical,Educational attainment,if age ≥18
employment,0,1,0,0,0,integer/categorical,Employment status,if age 18+ (2017 - 2021); If age > 16 (2023 and 2025)
ethnicity_1,0,1,0,0,0,integer/categorical,"Ethnicity -- Not of Hispanic, Latino, or Spanish origin",if age ≥18
ethnicity_2,0,1,0,0,0,integer/categorical,"Ethnicity -- Mexican, Mexican American, Chicano",if age ≥18
ethnicity_3,0,1,0,0,0,integer/categorical,Ethnicity -- Puerto Rican,if age ≥18
ethnicity_4,0,1,0,0,0,integer/categorical,Ethnicity -- Cuban,if age ≥18
ethnicity_997,0,1,0,0,0,integer/categorical,"Ethnicity -- Another Hispanic, Latino, or Spanish origin",if age ≥18
ethnicity_999,0,1,0,0,0,integer/categorical,Ethnicity -- Prefer not to answer,if age ≥18
ethnicity_other,0,1,0,0,0,character,Other ethnicity textbox answer,if ethnicity = other
ev_typical_charge_1,0,1,0,0,0,integer/categorical,Typical charge location for EV -- At home,"if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_2,0,1,0,0,0,integer/categorical,Typical charge location for EV -- At work,"if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_3,0,1,0,0,0,integer/categorical,"Typical charge location for EV -- At a commute location (e.g., Park and Ride lot, parking garage)","if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_4,0,1,0,0,0,integer/categorical,"Typical charge location for EV -- At a shopping location (e.g., grocery store, shopping mall)","if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_5,0,1,0,0,0,integer/categorical,"Typical charge location for EV -- At a public location (e.g., hospital, library, government building)","if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_6,0,1,0,0,0,integer/categorical,Typical charge location for EV -- At a hotel/inn,"if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
ev_typical_charge_997,0,1,0,0,0,integer/categorical,Typical charge location for EV -- Other,"if fuel type of primary vehicle driven is electric (until 2023); if rMove or (rMove for Web and person 1) and household has at least one vehicle with fuel_type = ""electric (EV)"" (2025)"
flag_teleport,0,0,0,1,0,integer/categorical,>=250m gap occurs after trip,if hhgroup = rMove
fuel,0,0,0,0,1,integer/categorical,Fuel type,if num_vehicles > 0 (2025)
gender,0,1,0,0,0,integer/categorical,Gender,
has_access,0,0,0,1,0,integer/categorical,Has access,
has_egress,0,0,0,1,0,integer/categorical,Has egress,
has_synthetic_access,0,0,0,1,0,integer/categorical,Has synthetic access,
has_synthetic_egress,0,0,0,1,0,integer/categorical,Has synthetic egress,
hh_race_category,1,0,0,0,0,integer/categorical,Household Race Category,
hhgroup,1,0,0,0,0,integer/categorical,Travel Diary (Part 2) participation group,
hhid,1,1,1,1,1,character,Unique identifier for each household,
hhincome_broad,1,0,0,0,0,integer/categorical,"Last year's household income broad categories, all respondents",
hhincome_detailed,1,0,0,0,0,integer/categorical,Last year's household income detailed categories,
hhincome_followup,1,0,0,0,0,integer/categorical,Last year's household income broad follow-up categories,if hhincome_detailed = prefer not to answer
hhsize,1,0,0,0,0,integer/categorical,Household size,
home_bg_2010,1,0,0,0,0,character,Home location-- 2010 Block group,
home_bg_2020,1,0,0,0,0,character,Home location-- 2020 Block group,
home_county,1,0,0,0,0,integer/categorical,Final home address: County,
home_county,1,0,0,0,0,character,Home location-- County,
home_in_region,1,0,0,0,0,integer/categorical,Home is in PSRC MPO area,
home_jurisdiction,1,0,0,0,0,integer/categorical,Home Location Jurisdiction,
home_lat,1,0,0,0,0,numeric,Final home address latitude,
home_lng,1,0,0,0,0,numeric,Final home address longitude,
home_puma_2012,1,0,0,0,0,character,Home location-- 2012 Public Use Microdata Area,
home_puma_2022,1,0,0,0,0,character,Home location-- 2022 Public Use Microdata Area,
home_rgcname,1,0,0,0,0,integer/categorical,Final home address: Regional growth center,
home_state,1,0,0,0,0,character,Home location-- State,
home_tract_2020,1,0,0,0,0,character,Final home address: Census Tract,
hours_work,0,1,0,0,0,integer/categorical,Number of hours typically worked last week,"if full/part/self employed (until 2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" (2025)"
household_weight,1,0,0,0,0,numeric,Household-level weight,
industry,0,1,0,0,0,integer/categorical,Current employment industry,"if full/part/self employed (until 2023); if paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" (2025)"
industry_other,0,1,0,0,0,character,Other job industry textbox answer,if industry = 'Other'
is_access,0,0,0,1,0,integer/categorical,Trip is access leg of linked trip,if linked trip
is_egress,0,0,0,1,0,integer/categorical,Trip is egress leg of linked trip,if linked trip
is_participant,0,1,1,0,0,integer/categorical,"Person is participant (rMove: over 17, has smartphone, is surveyable; online: over 17 and is surveyable)",
is_transit,0,0,0,1,0,integer/categorical,Trip is transit leg of linked trip.,if linked trip
lifecycle_class,1,0,0,0,0,integer/categorical,Presence of persons of various age groups within the household,Order of precedence: Children > older adults > adults 18-34 > adults 35-64
make,0,0,0,0,1,character,Vehicle make,if num_vehicles > 0 (2025)
mobility_aides,0,1,0,0,0,integer/categorical,"Person uses mobility aides (wheelchairs, walkers, crutches, canes, braces, etc.)",If disability = yes
mode_1,0,0,0,1,0,integer/categorical,Primary mode,
mode_2,0,0,0,1,0,integer/categorical,Second mode chosen,
mode_3,0,0,0,1,0,integer/categorical,Third mode chosen,
mode_4,0,0,0,1,0,integer/categorical,Fourth mode chosen,
mode_acc,0,0,0,1,0,integer/categorical,Travel mode to transit,"if transit trip (bus, rail, streetcar, ferry) (until 2023); if mode_1, mode_2, mode_3, or mode_4 = ""Regular bus (public transit)"", ""other bus, shuttle, or vanpool (private services or shuttles for older adults and people with disabilities)"", ""rail (e.g., train, light rail, streetcar)"", and/or ""ferry or water taxi"" (2025)"
mode_class,0,0,0,1,0,integer/categorical,Primary Trip Mode (derived from mode_1~mode_4),
mode_class_5,0,0,0,1,0,integer/categorical,Primary Trip Mode (5 categories),
mode_egr,0,0,0,1,0,integer/categorical,Travel mode from transit,"if transit trip (bus, rail, streetcar, ferry) (until 2023); if mode_1, mode_2, mode_3, or mode_4 = ""Regular bus (public transit)"", ""other bus, shuttle, or vanpool (private services or shuttles for older adults and people with disabilities)"", ""rail (e.g., train, light rail, streetcar)"", and/or ""ferry or water taxi"" (2025)"
mode_other_specify,0,0,0,1,0,character,Other mode specified in textbox,"if mode = ""Other"""
model,0,0,0,0,1,character,Vehicle model,if num_vehicles > 0 (2025)
model_other,0,0,0,0,1,character,Other vehicle model textbox answer,"if num_vehicles > 0 and model = ""Other"" (2025)"
no_school_closed,0,0,1,0,0,integer/categorical,Didn't travel to school -- School was closed or adjusted due to weather event,if child didn't travel to school on travel day
no_school_dont_know,0,0,1,0,0,integer/categorical,Didn't travel to school -- Don't know,if child didn't travel to school on travel day
no_school_no_answer,0,0,1,0,0,integer/categorical,Didn't travel to school -- Prefer not to answer,if child didn't travel to school on travel day
no_school_online_home,0,0,1,0,0,integer/categorical,Didn't travel to school -- Attended class online from home,if child didn't travel to school on travel day
no_school_online_other,0,0,1,0,0,integer/categorical,Didn't travel to school -- Attended class online from another location,if child didn't travel to school on travel day
no_school_other,0,0,1,0,0,integer/categorical,Didn't travel to school -- Other reason,if child didn't travel to school on travel day
no_school_sick,0,0,1,0,0,integer/categorical,Didn't travel to school -- Sick or quarantining,if child didn't travel to school on travel day
no_school_vacation,0,0,1,0,0,integer/categorical,Didn't travel to school -- School was scheduled to be closed,if child didn't travel to school on travel day
no_travel,0,0,1,0,0,integer/categorical,Person traveled on travel date,If made zero trips and used rMove
notravel_delivery,0,0,1,0,0,integer/categorical,Didn't travel -- Was waiting for a delivery or visitor,if no trips on travel day
notravel_housework,0,0,1,0,0,integer/categorical,Didn't travel -- Worked around home (not for pay),if no trips on travel day
notravel_kidsbreak,0,0,1,0,0,integer/categorical,Didn't travel -- Kids were on school vacation / break,if no trips on travel day
notravel_kidshomeschool,0,0,1,0,0,integer/categorical,Didn't travel -- Kids were home schooled,if no trips on travel day
notravel_madetrips,0,0,1,0,0,integer/categorical,Didn't travel -- Made trips that day (erroneously recorded no trips),if no trips on travel day
notravel_not_sure,0,0,1,0,0,integer/categorical,"Didn't travel -- Person may have traveled, but not sure when or where",if no trips on travel day and age < 18
notravel_notransport,0,0,1,0,0,integer/categorical,Didn't travel -- Had no available transportation,if no trips on travel day
notravel_other,0,0,1,0,0,integer/categorical,Didn't travel -- Other reason,if no trips on travel day
notravel_sick,0,0,1,0,0,integer/categorical,Didn't travel -- Was sick or caring for another person at home,if no trips on travel day
notravel_telecommute,0,0,1,0,0,integer/categorical,Didn't travel -- Worked from home for pay,if no trips on travel day and employment = full/part/self/volunteer
notravel_vacation,0,0,1,0,0,integer/categorical,"Didn't travel -- Not scheduled to work, vacation/personal day",if no trips on travel day and employment = full/part/self/volunteer
notravel_weather,0,0,1,0,0,integer/categorical,Didn't travel -- Weather conditions,if no trips on travel day
num_students,1,0,0,0,0,integer/categorical,Number of students in household,
num_trips,1,1,1,0,0,numeric,"Household, person, or person-day number of trips",
numadults,1,0,0,0,0,integer/categorical,Number of adults in household,
numchildren,1,0,0,0,0,integer/categorical,Number of children in household,
numworkers,1,0,0,0,0,integer/categorical,Number of workers in household,
o_bg,0,0,0,1,0,character,Trip origin census block group (derived by PSRC),
o_in_region,0,0,0,1,0,integer/categorical,Trip origin is in PSRC MPO area,
o_puma10,0,0,0,1,0,character,Trip origin PUMA (Public Use Microdata Area) 2010 (derived by PSRC),
office_available,0,1,0,0,0,integer/categorical,Availability of private work space outside the home,"if employment = full/part/self/volunteer and job_type is ""work only from home"" (until 2023); if empif paid_work = ""yes"" or ""on leave (e.g., medical, parental)"" and work_from_home = ""yes, all of the time (100% of the time)"" (2025)"
origin_county,0,0,0,1,0,integer/categorical,Origin county,
origin_jurisdiction,0,0,0,1,0,integer/categorical,Trip Origin Jurisdiction,
origin_lat,0,0,0,1,0,numeric,Origin latitude,
origin_lng,0,0,0,1,0,numeric,Origin longitude,
origin_purpose,0,0,0,1,0,integer/categorical,Origin purpose,
origin_purpose_cat,0,0,0,1,0,integer/categorical,Origin purpose category (derived),
origin_purpose_cat_5,0,0,0,1,0,integer/categorical,Origin purpose category (5 categories),
origin_rgcname,0,0,0,1,0,integer/categorical,Origin location: Regional Growth Center,
origin_tract_2010,0,0,0,1,0,character,Origin Census Tract 2010,
origin_tract_2020,0,0,0,1,0,character,Origin Census Tract 2020,
origin_x_coord,0,0,0,1,0,numeric,Origin: X coordinate,
origin_y_coord,0,0,0,1,0,numeric,Origin: Y coordinate,
paid_work,0,1,0,0,0,integer/categorical,Person worked for pay or profit last week,If age ≥ 16 or older
participate,0,1,0,0,0,integer/categorical,Respondent is willing to be recontacted for future transportation research,if ABS respondent and pernum = 1
pernum,0,1,1,1,0,numeric,Person number in household,
person_id,0,1,1,1,0,character,Person unique identifier,
person_weight,0,1,0,0,0,numeric,Person-level weight,
prev_home_county,1,0,0,0,0,integer/categorical,Previous home address: County,
prev_home_jurisdiction,1,0,0,0,0,integer/categorical,Previous home address: Jurisdiction,
prev_home_lat,1,0,0,0,0,numeric,Previous home address latitude,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_lng,1,0,0,0,0,numeric,Previous home address longitude,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_notwa_state,1,0,0,0,0,integer/categorical,Previous home address state,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_notwa_zip,1,0,0,0,0,character,Previous home address zip,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_rgcname,1,0,0,0,0,integer/categorical,Previous home address Regional Growth Center name,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_tract_2020,1,0,0,0,0,character,Previous home address: Census tract,"if moved in last 5 years (2017-2021); if moved in last 5 years from outside WA (2023); if prev_home_wa = ""no, previous home was in another state"" (2025)"
prev_home_wa,1,0,0,0,0,integer/categorical,Previous home in State of Washington (WA),if moved in last 5 years (until 2023); if rMove or rMove for web and person 1 and residence_duration ≤ 5 years (2025)
prev_rent_own,1,0,0,0,0,integer/categorical,Previous home tenure status,if moved in last 5 years (until 2023); if rMove or rMove for web and person 1 and residence_duration ≤ 5 years (2025)
prev_res_factors_amenities,1,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- To have better access to recreation, restaurants, shops, and other amenities","if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_community_change,1,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Friends, family, or cultural community were leaving the area","if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_crime,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Concerns about safety or crime,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_employment,1,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Employment or commuting considerations (e.g., to take new job or shorten commute)","if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_forced,1,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Forced to move out (e.g., building demolished or renovated, asked to leave by landlord, foreclosure)","if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_hh_size,1,0,0,0,0,integer/categorical,"Important factor in decision to move away from prior residence -- Changes in household size, establish own household","if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_housing_cost,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of an increase in rent or housing costs,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_income_change,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Could no longer afford previous residence because of a change in income or finances,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_less_space,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed less space,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_more_space,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Needed more space,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_no_answer,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Prefer not to answer,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_other,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- Other,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
prev_res_factors_quality,1,0,0,0,0,integer/categorical,Important factor in decision to move away from prior residence -- To upgrade to a better quality home or to stop renting and buy a home,"if moved in last 5 years (until 2023); if prev_home_wa = ""yes, previous home was in Washington"" (2025)"
